Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,cough,hoarse_voice,feeling_unwell,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,cough,hoarse_voice,feeling_unwell,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,hoarse_voice,feeling_unwell,,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,cough,feeling_unwell,,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,hoarse_voice,feeling_unwell,,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,cough,feeling_unwell,,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,cough,hoarse_voice,feeling_unwell,high_fever,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,cough,hoarse_voice,feeling_unwell,headache,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,hoarse_voice,feeling_unwell,muscle aches,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,cough,feeling_unwell,loss_of_taste,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,hoarse_voice,feeling_unwell,loss_of_smell,,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,cough,feeling_unwell,high_fever,headache,,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,cough,hoarse_voice,feeling_unwell,loss_of_taste ,loss_of_smell,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,runny_nose,cough,hoarse_voice,feeling_unwell,high_fever,muscle aches,,,,,,,,
Common Cold,continuous_sneezing,cough,sore_throat,blocked_nose ,cough,hoarse_voice,feeling_unwell,headache,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,,,,,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,frequent_urination,,,,,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,frequent_urination,blurred_and_distorted_vision,obesity,,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,frequent_urination,blurred_and_distorted_vision,weight_loss,,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,frequent_urination,obesity,,,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,frequent_urination,weight_loss,,,,,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,frequent_urination,blurred_and_distorted_vision,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,sunken_eyes,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken_eyes,dehydration,,,,,,,,,,,,,,
Gastroenteritis,vomiting,chest_pain,upset_stomach,,,,,,,,,,,,,,
Gastroenteritis,dehydration,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,chest_pain,headache,diarrhoea,dehydration,,,,,,,,,,,,,
Bronchial Asthma,fatigue,wheezing,breathlessness,tight_chest,persistent_cough,,,,,,,,,,,,
Bronchial Asthma,fatigue,wheezing,breathlessness,tight_chest,persistent_cough,high_fever,,,,,,,,,,,
Bronchial Asthma,fatigue,wheezing,breathlessness,tight_chest,persistent_cough,family_history,,,,,,,,,,,
Bronchial Asthma,fatigue,wheezing,breathlessness,tight_chest,persistent_cough,high_fever,family_history,,,,,,,,,,
